shujuku,instanceid,login,from_time_ms,to_time_ms,limit,cursor,db_result_max_rows,instance_id,platform,position_id,position_lifecycle_id,order_id,side,symbol,symbol_id,volume_lots,open_price,close_price,open_time_ms,close_time_ms,profit,account_currency,open_notional_value_usd,close_notional_value_usd,notional_status,notional_method,notional_calculation_version
1,MT5_1,4170,1767225600000,1798646399000,1000,,50000,MT5_1,mt5,,,,,,,,,,,,,,,,,,
1,MT4_1,5283,1767225600000,1798646399000,1000,,50000,MT4_1,mt4,,,,,,,,,,,,,,,,,,
1,MT5_1,197314,1767225600000,1798646399000,1000,,50000,MT5_1,mt5,,,,,,,,,,,,,,,,,,
1,MT4_1,5283,1767225600000,1798646399000,1000,,50000,MT5_1,mt4,,,,,,,,,,,,,,,,,,
1,MT5_1,4133,1767225600000,1798646399000,1000,,50000,MT5_1,mt5,,,,,,,,,,,,,,,,,,
1,MT4_1,5218,1767225600000,1798646399000,1000,,50000,MT5_1,mt4,,,,,,,,,,,,,,,,,,
1,MT5_1,880043,1767225600000,1798646399000,1000,,50000,MT5_1,mt5,,,,,,,,,,,,,,,,,,
1,MT4_1,5285,1767225600000,1798646399000,1000,,50000,MT5_1,mt4,,,,,,,,,,,,,,,,,,
1,MT4_1,1131,1767225600000,1798646399000,1000,,50000,MT5_1,mt4,,,,,,,,,,,,,,,,,,
1,MT4_1,5218,1767225600000,1798646399000,1000,,50000,MT5_1,mt4,,,,,,,,,,,,,,,,,,
1,MT4_1,3028,1767225600000,1798646399000,1000,,50000,MT5_1,mt4,,,,,,,,,,,,,,,,,,
1,MT5_1,197183,1767225600000,1798646399000,1000,,50000,MT5_1,mt5,,,,,,,,,,,,,,,,,,
1,MT4_1,1119,1767225600000,1798646399000,1000,,50000,MT5_1,mt4,,,,,,,,,,,,,,,,,,
1,MT5_1_TS1,780011,1767225600000,1798646399000,1000,,50000,MT5_1,mt5,,,,,,,,,,,,,,,,,,
1,MT5_1_TS1,780014,1767225600000,1798646399000,1000,,50000,MT5_1,mt5,,,,,,,,,,,,,,,,,,
1,MT5_1_TS2,197350,1767225600000,1798646399000,1000,,50000,MT5_1,mt5,,,,,,,,,,,,,,,,,,
1,MT5_1_TS2,197351,1767225600000,1798646399000,1000,,50000,MT5_1,mt5,,,,,,,,,,,,,,,,,,
1,MT5_1_TS1,780018,1767225600000,1798646399000,1000,,50000,MT5_1,mt5,,,,,,,,,,,,,,,,,,
1,MT5_1,4060,1767225600000,1798646399000,1000,,50000,MT5_1,mt5,,,,,,,,,,,,,,,,,,
1,MT5_1,197368,1767225600000,1798646399000,1000,,50000,MT5_1,mt5,,,,,,,,,,,,,,,,,,
1,MT5_1,197374,1767225600000,1798646399000,1000,,50000,MT5_1,mt5,,,,,,,,,,,,,,,,,,
1,MT5_1,197184,1767225600000,1798646399000,1000,,50000,MT5_1,mt5,,,,,,,,,,,,,,,,,,
