instanceid,login
MT4_3,2006003173
MT4_1,1004
MT4_1,1006
MT4_1,1007
MT4_1,1010
MT4_1,1012
MT4_1,1013
MT4_1,1024
MT4_1,1025
MT4_1,1028
MT4_1,1029
MT4_1,1033
MT4_1,1034
MT4_1,1036
MT4_1,1037
MT4_1,1038
MT4_1,1039
MT4_1,1041
MT4_1,1042
MT4_1,1046
MT4_1,1047
MT4_1,1049
MT4_1,1051
MT4_1,1052
MT4_1,1053
MT4_1,1054
MT4_1,1055
MT4_1,1056
MT4_1,1057
MT4_1,1058
MT4_1,1059
MT4_1,1060
MT4_1,1061
MT4_1,1062
MT4_1,1063
MT4_1,1064
MT4_1,1065
MT4_1,1066
MT4_1,1067
MT4_1,1068
MT4_1,1069
MT4_1,1070
MT4_1,1071
MT4_1,1072
MT4_1,1074
MT4_1,1075
MT4_1,1076
MT4_1,1077
MT4_1,1078
MT4_1,1080
MT4_1,1081
MT4_1,1082
MT4_1,1083
MT4_1,1084
MT4_1,1085
MT4_1,1086
MT4_1,1087
MT4_1,1089
MT4_1,1090
MT4_1,1091
MT4_1,1092
MT4_1,1093
MT4_1,1095
MT4_1,1096
MT4_1,1097
MT4_1,1098
MT4_1,1099
MT4_1,1100
MT4_1,1101
MT4_1,1102
MT4_1,1103
MT4_1,1104
MT4_1,1105
MT4_1,1108
MT4_1,1110
MT4_1,1111
MT4_1,1112
MT4_1,1113
MT4_1,1114
MT4_1,1115
MT4_1,1116
MT4_1,1117
MT4_1,1118
MT4_1,1119
MT4_1,1121
MT4_1,1122
MT4_1,1123
MT4_1,1124
MT4_1,1125
MT4_1,1126
MT4_1,1128
MT4_1,1129
MT4_1,1130
MT4_1,1131
MT4_1,1132
MT4_1,1133
MT4_1,1134
MT4_1,1135
MT4_1,1136
MT4_1,1137
MT4_1,1138
MT4_1,1139
MT4_1,1140
MT4_1,1142
MT4_1,1143
MT4_1,1146
MT4_1,1147
MT4_1,1148
MT4_1,1149
MT4_1,1150
MT4_1,1151
MT4_1,1152
MT4_1,1153
MT4_1,1154
MT4_1,1155
MT4_1,1156
MT4_1,1157
MT4_1,1158
MT4_1,1159
MT4_1,1160
MT4_1,1174
MT4_1,1206
MT4_1,1220
MT4_1,1224
MT4_1,1231
MT4_1,1233
MT4_1,1274
MT4_1,1278
MT4_1,1279
MT4_1,1280
MT4_1,1281
MT4_1,1282
MT4_1,1283
MT4_1,1284
MT4_1,1285
MT4_1,1286
MT4_1,1287
MT4_1,1288
MT4_1,1289
MT4_1,1290
MT4_1,1291
MT4_1,1292
MT4_1,1293
MT4_1,1294
MT4_1,1299
MT4_1,1300
MT4_1,1301
MT4_1,1306
MT4_1,1309
MT4_1,1310
MT4_1,1311
MT4_1,1312
MT4_1,1313
MT4_1,1314
MT4_1,1315
MT4_1,1316
MT4_1,1317
MT4_1,1318
MT4_1,1320
MT4_1,1322
MT4_1,1326
MT4_1,1327
MT4_1,1328
MT4_1,1329
MT4_1,1330
MT4_1,1332
MT4_1,1333
MT4_1,1335
MT4_1,1338
MT4_1,1339
MT4_1,1340
MT4_1,1341
MT4_1,1342
MT4_1,1343
MT4_1,1344
MT4_1,1345
MT4_1,1346
MT4_1,1347
MT4_1,1348
MT4_1,1350
MT4_1,1351
MT4_1,1354
MT4_1,1359
MT4_1,1360
MT4_1,1362
MT4_1,1601
MT4_1,1603
MT4_1,1613
MT4_1,1614
MT4_1,1621
MT4_1,1624
MT4_1,1625
MT4_1,1627
MT4_1,1629
MT4_1,1630
MT4_1,1631
MT4_1,3008
MT4_1,130014
MT4_1,130059
MT4_1,130063
MT4_1,130202
MT4_1,130224
MT4_1,130413
MT4_1,130424
MT4_1,130436
MT4_1,130475
MT4_1,130485
MT4_1,130490
MT4_1,130693
MT4_1,130925
MT4_1,130945
MT4_1,130978
MT4_1,229120
MT4_1,250718
MT4_1,258749
MT4_1,263437
MT4_1,51974075
MT4_1,70275280
MT4_1,79170622
MT4_1,82803801
MT4_1,83156798
MT4_1,84112359
MT4_1,84166693
MT4_1,84167281
MT4_1,84167376
MT4_1,84182582
MT4_1,85210312
MT4_1,86354229
MT4_1,89373085
MT4_1,89442059
MT4_1,1000006130
MT4_1,1000009491
MT4_1,1000009831
MT4_1,2000001563
MT4_1,2000098578
MT4_1,2000098583
MT4_1,2000098671
