shujuku,instanceid,login,from_time_ms,to_time_ms,granularity,limit,cursor,db_result_max_rows,instance_id,platform,position_id,position_lifecycle_id,order_id,side,symbol,symbol_id,volume_lots,open_price,close_price,open_time_ms,close_time_ms,profit,account_currency,open_notional_value_usd,close_notional_value_usd,notional_status,notional_method,notional_calculation_version
1,MT5_1,4170,1780272000000,1798646399000,deal,1000,,50000,MT5_1,mt5,,,,,,,,,,,,,,,,,,
1,MT4_1,5283,1780272000000,1798646399000,deal,1000,,50000,MT4_1,mt4,,,,,,,,,,,,,,,,,,
1,MT5_1,197314,1780272000000,1798646399000,deal,1000,,50000,MT5_1,mt5,,,,,,,,,,,,,,,,,,
1,MT4_1,5283,1780272000000,1798646399000,deal,1000,,50000,MT5_1,mt4,,,,,,,,,,,,,,,,,,
1,MT5_1,4133,1780272000000,1798646399000,deal,1000,,50000,MT5_1,mt5,,,,,,,,,,,,,,,,,,
1,MT4_1,5218,1780272000000,1798646399000,deal,1000,,50000,MT5_1,mt4,,,,,,,,,,,,,,,,,,
1,MT5_1,880043,1780272000000,1798646399000,deal,1000,,50000,MT5_1,mt5,,,,,,,,,,,,,,,,,,
1,MT4_1,5285,1780272000000,1798646399000,deal,1000,,50000,MT5_1,mt4,,,,,,,,,,,,,,,,,,
1,MT4_1,1131,1780272000000,1798646399000,deal,1000,,50000,MT5_1,mt4,,,,,,,,,,,,,,,,,,
1,MT4_1,5218,1780272000000,1798646399000,deal,1000,,50000,MT5_1,mt4,,,,,,,,,,,,,,,,,,
1,MT4_1,3028,1780272000000,1798646399000,deal,1000,,50000,MT5_1,mt4,,,,,,,,,,,,,,,,,,
1,MT5_1,197183,1780272000000,1798646399000,deal,1000,,50000,MT5_1,mt5,,,,,,,,,,,,,,,,,,
1,MT4_1,1119,1780272000000,1798646399000,deal,1000,,50000,MT5_1,mt4,,,,,,,,,,,,,,,,,,
1,MT5_1,4060,1780272000000,1798646399000,deal,1000,,50000,MT5_1,mt5,,,,,,,,,,,,,,,,,,
1,MT5_1,197368,1780272000000,1798646399000,deal,1000,,50000,MT5_1,mt5,,,,,,,,,,,,,,,,,,
1,MT5_1,197374,1780272000000,1798646399000,deal,1000,,50000,MT5_1,mt5,,,,,,,,,,,,,,,,,,
1,MT5_1,197184,1780272000000,1798646399000,deal,1000,,50000,MT5_1,mt5,,,,,,,,,,,,,,,,,,
1,MT5_1,880027,1780272000000,1798646399000,deal,1000,,50000,MT5_1,mt5,,,,,,,,,,,,,,,,,,
1,MT4_1,1627,1780272000000,1798646399000,deal,1000,,50000,MT4_1,mt4,,,,,,,,,,,,,,,,,,
1,MT5_1,197509,1780272000000,1798646399000,deal,1000,,50000,MT5_1,mt5,,,,,,,,,,,,,,,,,,
1,MT5_1,13286,1780272000000,1798646399000,deal,1000,,50000,MT5_1,mt5,,,,,,,,,,,,,,,,,,
